Borough,Count of rents2019,Mean2019,Lower quartile2019,Median2019,Upper quartile2019
Camden,2400,2536,1647,2058,2817
City of London,60,2446,1755,2167,2817
Hackney,1170,1834,1400,1699,2150
Hammersmith and Fulham,1160,2117,1365,1690,2340
Haringey,1390,1558,1250,1450,1750
Islington,1240,1914,1452,1733,2250
Kensington and Chelsea,2220,3053,1842,2383,3380
Lambeth,1590,1754,1300,1600,1950
Lewisham,2090,1324,1050,1250,1500
Newham,1740,1424,1192,1400,1650
Southwark,2590,1654,1300,1517,1900
Tower Hamlets,2010,1803,1408,1668,2050
Wandsworth,3160,1883,1430,1700,2145
Westminster,2370,3018,1777,2383,3250
Barking and Dagenham,880,1194,1050,1200,1350
Barnet,2160,1523,1175,1350,1650
Bexley,840,1106,920,1100,1262
Brent,1620,1535,1213,1452,1798
Bromley,2700,1321,1000,1200,1495
Croydon,2250,1136,900,1100,1300
Ealing,1210,1463,1175,1350,1600
Enfield,1000,1310,1011,1250,1500
Greenwich,1460,1404,1100,1350,1600
Harrow,1210,1407,1150,1350,1625
Havering,710,1169,975,1150,1350
Hillingdon,1360,1270,995,1200,1450
Hounslow,1460,1432,1100,1312,1600
Kingston upon Thames,760,1390,1062,1277,1550
Merton,1010,1530,1200,1400,1750
Redbridge,1730,1318,1050,1250,1500
Richmond upon Thames,2120,1857,1295,1575,2000
Sutton,880,1167,925,1100,1300
Waltham Forest,1610,1309,1080,1250,1500
