Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Percentage change (yearly) All property types,Percentage change (monthly) All property types,House price index All property types,Sales volume All property types,Average price Detached houses,Percentage change (yearly) Detached houses,Percentage change (monthly) Detached houses,House price index Detached houses,Average price Semi-detached houses,Percentage change (yearly) Semi-detached houses,Percentage change (monthly) Semi-detached houses,House price index Semi-detached houses,Average price Terraced houses,Percentage change (yearly) Terraced houses,Percentage change (monthly) Terraced houses,House price index Terraced houses,Average price Flats and maisonettes,Percentage change (yearly) Flats and maisonettes,Percentage change (monthly) Flats and maisonettes,House price index Flats and maisonettes,Average price First-time buyers,Percentage change (yearly) First-time buyers,Percentage change (monthly) First-time buyers,House price index First-time buyers,Average price Former owner-occupiers,Percentage change (yearly) Former owner-occupiers,Percentage change (monthly) Former owner-occupiers,House price index Former owner-occupiers,Average price Cash purchases,Percentage change (yearly) Cash purchases,Percentage change (monthly) Cash purchases,House price index Cash purchases,Sales volume Cash purchases,Average price Mortgage purchases,Percentage change (yearly) Mortgage purchases,Percentage change (monthly) Mortgage purchases,House price index Mortgage purchases,Sales volume Mortgage purchases,Average price New build,Percentage change (yearly) New build,Percentage change (monthly) New build,House price index New build,Sales volume New build,Average price Existing properties,Percentage change (yearly) Existing properties,Percentage change (monthly) Existing properties,House price index Existing properties,Sales volume Existing properties,Pivotable date
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-12,7096,monthly,479031,1.22,2.18,118.91,7096,909537,1.13,0.42,122.34,585232,0.92,0.79,124.02,502305,2.41,1.41,122.83,418195,0.76,3.12,115.57,418428,0.97,2.57,118.81,541645,1.56,1.65,119.14,502055,1.02,2.79,116.83,1340,472005,1.29,2.02,119.6,5438,477558,-2.15,3.28,117.09,1208,480268,1.7,2.03,119.34,5888,01/12/2019
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-01,6511,monthly,476632,1.4,-0.5,118.32,6511,893775,-1.77,-1.73,120.22,581237,0.55,-0.68,123.17,498932,2.18,-0.67,122,417130,1.51,-0.25,115.28,416725,1.49,-0.41,118.32,538248,1.27,-0.63,118.39,499996,1.55,-0.41,116.35,1188,469530,1.36,-0.52,118.98,4968,505297,4.32,5.81,123.89,733,473821,1,-1.34,117.74,5778,01/01/2020
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-02,6245,monthly,475368,2,-0.27,118,6245,913776,1.86,2.24,122.91,585000,2.45,0.65,123.97,501492,3.44,0.51,122.63,412318,1.12,-1.15,113.95,414597,1.59,-0.51,117.72,538650,2.55,0.07,118.48,497703,1.89,-0.46,115.81,1195,468500,2.02,-0.22,118.72,4543,484879,-1.56,-4.04,118.89,870,475832,2.66,0.42,118.24,5375,01/02/2020
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-03,6401,monthly,482748,4,1.55,119.83,6401,919939,4.59,0.67,123.74,591982,4.5,1.19,125.45,506688,4.86,1.04,123.9,420597,3.36,2.01,116.24,421314,3.64,1.62,119.63,546512,4.51,1.46,120.21,506488,4.22,1.77,117.86,1196,475538,3.95,1.5,120.5,4399,501949,3.95,3.52,123.07,859,481566,4.09,1.21,119.67,5542,01/03/2020
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-04,2900,monthly,473948,0.94,-1.82,117.65,2900,924778,4.26,0.53,124.39,584201,2.37,-1.31,123.8,502411,2.55,-0.84,122.85,409302,-0.59,-2.69,113.12,412637,0.43,-2.06,117.16,538342,1.64,-1.49,118.41,497813,0.61,-1.71,115.84,515,466745,1.03,-1.85,118.27,2024,493297,1.17,-1.72,120.95,358,472702,0.98,-1.84,117.46,2542,01/04/2020
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-05,2672,monthly,470083,1.39,-0.82,116.69,2672,906412,3.27,-1.99,121.92,584599,3.06,0.07,123.88,497829,2.3,-0.91,121.73,405574,0.27,-0.91,112.09,409480,1.11,-0.77,116.27,533575,1.79,-0.89,117.36,487519,0.22,-2.07,113.44,422,464339,1.67,-0.52,117.66,1883,485710,2.19,-1.54,119.09,217,469459,1.39,-0.69,116.66,2455,01/05/2020
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-06,4031,monthly,478038,1.6,1.69,118.66,4031,906833,1.6,0.05,121.97,593686,2.49,1.55,125.81,510079,3.78,2.46,124.73,411597,0.21,1.49,113.75,416196,1.33,1.64,118.17,542989,1.98,1.76,119.43,498370,1.06,2.23,115.97,636,471610,1.72,1.57,119.5,2781,473452,-0.41,-2.52,116.09,252,481028,2.16,2.46,119.53,3779,01/06/2020
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-07,5096,monthly,484709,1.3,1.4,120.32,5096,925089,2.77,2.01,124.43,598916,3.02,0.88,126.91,513696,2.93,0.71,125.61,419202,-0.16,1.85,115.85,421842,0.72,1.36,119.78,550858,2.09,1.45,121.17,506395,1.15,1.61,117.84,866,477950,1.33,1.34,121.11,3376,500068,-0.25,5.62,122.61,300,484196,1.62,0.66,120.32,4796,01/07/2020
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-08,5095,monthly,492084,4.09,1.52,122.15,5095,950040,5.23,2.7,127.78,612881,5.55,2.33,129.87,526897,5.27,2.57,128.84,421895,2.94,0.64,116.6,427112,3.53,1.25,121.27,561321,4.88,1.9,123.47,513088,4.42,1.32,119.39,879,485451,4,1.57,123.01,3136,497859,3.6,-0.44,122.07,202,493282,4.36,1.88,122.58,4893,01/08/2020
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-09,,monthly,496736,4.11,0.95,123.31,,956405,6.04,0.67,128.64,616320,6.52,0.56,130.6,530207,6.35,0.63,129.65,427157,2.11,1.25,118.05,431346,3.31,0.99,122.48,566269,5.21,0.88,124.55,516131,3.44,0.59,120.1,,490447,4.26,1.03,124.28,,,,,,,,,,,,01/09/2020
